date,pm25, pm10, o3, no2, so2, co
2020/12/1,94,61,35,19,3,6
2020/12/2,111,56,26,13,3,6
2020/12/3,106,55,32,14,4,6
2020/12/4,100,66, ,18,4,7
2020/12/5,141,72, ,21,5,7
2020/12/6,150,95, ,40,3,8
2020/12/7,147,69, ,19,4,7
2020/12/8,136,70, ,28,4,7
2020/12/9,143,80, ,34,5,8
2020/12/10,140,92, ,38,4,8
2020/12/11,159,83,45,35,5,8
2020/12/12,156,54,49,18,3,7
2020/12/13,107,48,31,24,3,8
2020/12/14,90,27,12,14,3,9
2020/12/15,58, , , , , 
2020/11/1,114,69,63,26,4,8
2020/11/2,139,55,51,14,4,8
2020/11/3,110,65,76,17,4,7
2020/11/4,133,67,77,19,5,5
2020/11/5,113,77,90,26,4,7
2020/11/6,132,71,77,22,5,8
2020/11/7,134,65,68,13,6,7
2020/11/8,124,72,76,16,4,6
2020/11/9,124,75,65,20,5,6
2020/11/10,125,62,58,13,2,4
2020/11/11,93,55,55,16,2,3
2020/11/12,78,64,45,30,3,6
2020/11/13,97,58,34,21,3,5
2020/11/14,115,58,43,18,3,6
2020/11/15,114,66,83,24,2,7
2020/11/16,128,44,38,19,3,6
2020/11/17,71,46,33,21,3,6
2020/11/18,71,32,28,23,2,6
2020/11/19,75,47,43,28,3,5
2020/11/20,78,33,43,14,3,6
2020/11/21,75,47,49,24,2,7
2020/11/22,85,65,32,24,3,8
2020/11/23,118,66,69,19,3,8
2020/11/24,115,61,60,19,3,8
2020/11/25,109,66,68,24,4,7
2020/11/26,125,55,36,19,3,7
2020/11/27,88,50,41,12,2,7
2020/11/28,76,47,38,11,2,7
2020/11/29,74,49,36,13,3,8
2020/11/30,84,56,39,18,3,9
2020/10/1,67,39,57,10,3,6
2020/10/2,78,45,54,12,3,6
2020/10/3,80,55,89,19,4,7
2020/10/4,105,46,47,17,3,7
2020/10/5,99,33,32,11,3,7
2020/10/6,72,32,26,7,2,6
2020/10/7,59,35,33,7,2,6
2020/10/8,69,47,54,10,2,6
2020/10/9,89,59,77,14,3,6
2020/10/10,115,66,104,18,4,5
2020/10/11,132,58,71,11,3,5
2020/10/12,111,36,38,11,3,5
2020/10/13,85,35,51,10,2,5
2020/10/14,72,44,57,12,3,5
2020/10/15,83,53,50,13,3,5
2020/10/16,97,46,43,12,3,6
2020/10/17,93,43,55,14,3,6
2020/10/18,89,45,44,12,3,6
2020/10/19,94,47,64,12,3,6
2020/10/20,95,47,46,15,3,6
2020/10/21,98,48,41,13,3,6
2020/10/22,91,53,41,20,3,6
2020/10/23,83,63,65,17,3,5
2020/10/24,103,67,87,19,2,7
2020/10/25,122,63,81,15,3,6
