is_hr,ftype,job_other_info,iname,degree,delivered,mina_url,month,job_label,chance,address,maxsal,logo,endtime,day,minsal,info,city,scale,deliver_uuid,url,industry,reslan,refresh,reject_type,attraction,cname,collected,overdue,job_requirements,invited,cuuid
False,1,,数据挖掘工程师,硕士,0,pages/positiondetail/positiondetail?uuid=inn_2krgalukceq6,6,"{'is_double_selection': False, 'is_summer': False, 'is_rpo': False, 'is_quick': False, 'is_hirer': False, 'is_ji': False}",面议,上海,200,https://sxsimg.xiaoyuanzhao.com/1B/4B/1BC3945FEE8B80F4FE3EB23CEEEF224B.png,2020-12-30,5,150,"<p>
	工作职责：
</p>
<p>
	1. 运用机器学习、数据挖掘技术判别海量文件安全性<br>
2. 大规模机器学习算法研究及并行化实现
</p>
<p>
	职位要求：
</p>
<p>
	1. 统计学、应用数学，信息管理、计算机科学专业, 硕士以上学历优先<br>
2. 有算法/机器学习/数据挖掘理论及实践经验
</p>
<div>
	<br>
</div>
<p>
	<br>
</p>",上海,150-500人,,https://www.shixiseng.com/intern/inn_2krgalukceq6,互联网/游戏/软件,中文,2020-11-30 14:46:28,,"['福利好', '发展空间大', '可转正实习']",华院数据,0,0,,0,com_qebqujwjzwqb
False,1,,数据挖掘实习生,本科,0,pages/positiondetail/positiondetail?uuid=inn_8a9xbfmnfgp3,3,"{'is_double_selection': False, 'is_summer': False, 'is_rpo': False, 'is_quick': False, 'is_hirer': False, 'is_ji': False}",可转正,世纪大道210号二十一世纪中心大厦12F,120,https://sxsimg.xiaoyuanzhao.com/3B/D3/3B6610F652B9AFF8B75A9BBEFCE0E4D3.png,2020-12-14,3,80,"<p>
	岗位职责：
</p>
<p>
	1. 负责弘则研究金融科技产品的数据治理；
</p>
<p>
	2. 能用应用技术，持续改进优化现有产品，打造一流的金融数据产品；
</p>
<p>
	3. 负责文档编写，调试以及测试。
</p>
<p>
	<br>
</p>
<p>
	任职要求：
</p>
<p>
	1. 本科以上学历，计算机相关专业；
</p>
<p>
	2. 熟悉MySQL/PostgresQL，熟练使用SQL操作数据库，能够编写较为复杂的查询语句；
</p>
<p>
	3. 熟悉Python语言开发，熟悉pandas，能够熟练编写数据处理相关程序；
</p>
<p>
	<br>
</p>
<p>
	加分项：
</p>
<p>
	<span>1. 具有数据清洗/数据挖掘/机器学习项目经验</span> 
</p>
<p>
	2. 熟悉ElasticSearch/MongoDB/OLAP/时序数据库
</p>
<br>",上海,50-150人,,https://www.shixiseng.com/intern/inn_8a9xbfmnfgp3,金融/经济/投资/财会,中文,2020-11-30 14:22:36,,['可转正实习'],弘则研究,0,0,,0,com_kx9a4vcrprdg
False,1,,数据分析挖掘工程师,本科,0,pages/positiondetail/positiondetail?uuid=inn_mvhpmjzpge6x,3,"{'is_double_selection': False, 'is_summer': False, 'is_rpo': False, 'is_quick': False, 'is_hirer': False, 'is_ji': False}",可转正,融新科技中心C座15层,200,https://sxsimg.xiaoyuanzhao.com/BB/19/BBA2C13C45672BA2DD1FE3137C4E2119.jpg,2020-12-31,5,120,"岗位职责
1、根据墨迹天气业务需求实现对数据的采集、清洗、分析建模与计算、可视化展示；
2、参与用户画像、点击率预测、推荐系统等项目的优化和开发；
岗位要求
1、本科及以上学历，数学、统计、计算机类专业优先；
2、熟悉SQL/Hive，熟练运用Python，了解Tableau、Excel等工具，有Hadoop、Spark等平台的海量数据处理经验优先；
3、具备较强的数据敏感度，能结合产品团队的需求完成建模分析，熟练运用数据挖掘技术对数据进行分析处理；
4、具备优秀的沟通协调能力和团队合作精神，自我驱动，有owner意识，交付能力强；跨团队与部门的沟通能力强，有较强的团队协作意识和能力；
5、有互联网数据分析、广告数据分析、用户画像标签建模等工作经验优先。&nbsp;",北京,150-500人,,https://www.shixiseng.com/intern/inn_mvhpmjzpge6x,互联网/游戏/软件,中文,2020-11-30 13:02:39,,"['平台发展好', '晋升空间大']",墨迹天气,0,0,,0,com_egueoykfu55c
False,1,,数据分析实习,不限,0,pages/positiondetail/positiondetail?uuid=inn_yc7op6zffzg2,4,"{'is_double_selection': False, 'is_summer': False, 'is_rpo': False, 'is_quick': False, 'is_hirer': False, 'is_ji': False}",面议,北京朝阳区媒体村(或远程办公）,150,https://sxsimg.xiaoyuanzhao.com/E4/C8/E43687AA59A9D781FF6085D39B6B60C8.jpg,2021-01-20,3,100,<span>岗位职责：<br>1、 参与数据分析项目，课程与案例研发；<br>2、 进行数据分析课程体验和实验测试；<br>3、 参与课程规划，完成课程PPT制作；<br>4、 参与实验室平台功能测试，建言献策；<br>5、 参与数据分析项目开发；<br>6、 公司安排的其他事项。<br> <br>技能需求：<br>1、 对数据分析感兴趣，熟悉数据分析基础的理论知识；<br>2、 掌握数据分析编程工具，比如Python/R/C++；<br>3、 良好的WORD与PPT文档编辑能力，熟悉Markdown优先；<br>4、 熟练使用MySQL数据库基本语法；<br>5、 有机器学习、大数据分析、项目实践、教育培训的经验优先。<br> <br>其他需求：<br>1、每周支持3天以上工作时间；<br>2、支持3个月及以上实习时间；<br>3、前期需要现场办公，稳定后可接受远程办公。</span>,北京,15-50人,,https://www.shixiseng.com/intern/inn_yc7op6zffzg2,互联网/游戏/软件,中文,2020-11-30 12:29:18,,"['可转正实习', '接受大一大二', '远程实习']",领众恒信,0,0,,0,com_otofmndjoa5p
False,1,,语音数据标注员（粤语）,不限,0,pages/positiondetail/positiondetail?uuid=inn_0qikvff4y23o,6,"{'is_double_selection': False, 'is_summer': False, 'is_rpo': False, 'is_quick': False, 'is_hirer': False, 'is_ji': False}",面议,广州市天河区粤垦路长讯大厦2楼A24,200,https://sxsimg.xiaoyuanzhao.com/7D/E7/7DA311B5B42CE8F261FE2115B49A3FE7.png,2021-02-15,4,100,"<p>
	【招聘岗位】語音数据标注员
</p>
<p>
	职位亮点：
</p>
<p>
	<span>1. </span>可以到办公室坐班，也可以在家里工作！
</p>
<p>
	<span>2. </span>为人工智能语音识别提供重要的数据支持服务，有机会接触到语音识别领域的科学家大咖！
</p>
<p>
	<span>3. </span>实习生可获得香港火人工智能<span>Start-up</span>开具的推荐信！
</p>
<p>
	<br>
</p>
<p>
	工作内容：
</p>
<p>
	<span>1. </span>为人工智能机器模型、算法、科学研发提供语音标注数据集支持；
</p>
<p>
	<span>2. </span>使用公司内部标注工具将音频转录成文本数据，包括粤语、普通话等；
</p>
<p>
	<span>3. </span>及时发现标注工具、数据、标注规则中的问题并提出优化建议；
</p>
<p>
	<span>4. </span>标注者可升级做审核、团队管理等配合工作。
</p>
<p>
	<br>
</p>
<p>
	任职要求：
</p>
<p>
	<span>1. </span>精通粤语，能准确听懂香港人讲话；
</p>
<p>
	<span>2. </span>喜欢看<span>TVB</span>电视剧优先；
</p>
<p>
	<span>3. </span>工作态度很重要，需要认真仔细、严格按照标注规则进行工作；
</p>
<p>
	<br>
</p>
<p>
	【薪资标准】按个人标注产量计算，多劳多得，约<span>4.5</span>元<span>/</span>分鐘（有效標註時長）。
</p>
<p>
	<br>
</p><p style='margin-top: 1.5rem;'><strong>该职位同时接受寒假实习和长期实习。</strong></p>",广州,50-150人,,https://www.shixiseng.com/intern/inn_0qikvff4y23o,互联网/游戏/软件,不限,2020-11-30 11:35:07,,"['人工智能', '工作时间自由', '接受大一大二', '暑期实习', '远程实习']",有光科技,0,0,,0,com_1c62nq3fpeou
False,1,,算法实习生,本科,0,pages/positiondetail/positiondetail?uuid=inn_dvdkujbqjldj,5,"{'is_double_selection': False, 'is_summer': False, 'is_rpo': False, 'is_quick': False, 'is_hirer': False, 'is_ji': False}",面议,大连腾讯大厦,150,https://sxsimg.xiaoyuanzhao.com/82/3D/82C3DA937235431C6137523C0385633D.png,2020-12-14,5,100,"<p style=""text-align:justify;"">
	<span style=""font-size:10pt;""><span><br>
</span></span>
</p>
<p style=""text-align:left;"">
	<span style=""font-size:10pt;""><span>任职要求：</span> </span>
</p>
<p style=""text-align:left;"">
	<span style=""font-size:10pt;"">1、熟悉1种以上机器学习框架，如scikit-learn, lightgbm, xgboost, tensorflow, keras, theano, pytorch, caffe 等；</span>
</p>
<p style=""text-align:left;"">
	<span style=""font-size:10pt;"">2、以及熟练使用数据处理工具，numpy，pandas, matplotlib 等；</span>
</p>
<p style=""text-align:left;"">
	<span style=""font-size:10pt;"">3、了解CNN,&nbsp;RNN等，对算法优化有一定经验；</span>
</p>
<p style=""text-align:left;"">
	<span style=""font-size:10pt;"">4、对数据敏感，分析数据、抽象问题、理解并解决问题；</span>
</p>
<p style=""text-align:left;"">
	<span style=""font-size:10pt;"">5、较强的沟通能力和团队协作能力，善于学习新知识、关注前沿新技术。</span>
</p>",大连,150-500人,,https://www.shixiseng.com/intern/inn_dvdkujbqjldj,互联网/游戏/软件,中文,2020-11-30 11:26:23,,"['导师指导', '领导nice']",腾讯无线大连研发中心,0,0,,0,com_kmhasexs2xlo
False,1,,Python数据分析实习生,本科,0,pages/positiondetail/positiondetail?uuid=inn_jrtziyz1zm2x,1,"{'is_double_selection': False, 'is_summer': False, 'is_rpo': False, 'is_quick': False, 'is_hirer': False, 'is_ji': False}",无转正,上海,400,https://sxsimg.xiaoyuanzhao.com/31/C2/31D023E5B816500515AB5E5DE1AB2AC2.png,2020-12-07,5,300,"<p>
	岗位职责：
</p>
<p>
	1、擅长数据统计分析，有一定的空余时间
</p>
<p>
	2、熟练使用Python及相关数据分析、统计模型和方法
</p>
<p>
	3、愿意用专业的数据分析技能与经验帮助他人
</p>
<p>
	4、积极参与到准雀的各个数据分析项目中进行
</p>
<p>
	任职要求：
</p>
<p>
	1、一线名校本科、研究生、博士在读生，利用课余，闲散时间，进行线上工作；
</p>
<p>
	2、具有较强的沟通能力，具备良好的英语口语表达能力者优先&nbsp;。
</p>
<br>",全国,15-50人,,https://www.shixiseng.com/intern/inn_jrtziyz1zm2x,教育/培训,中文,2020-11-30 11:19:28,,['远程实习'],新思陆,0,0,,0,com_hrr0lr776yqf
False,1,,数据挖掘工程师,大专,0,pages/positiondetail/positiondetail?uuid=inn_dhazj0cxez59,3,"{'is_double_selection': False, 'is_summer': False, 'is_rpo': False, 'is_quick': False, 'is_hirer': False, 'is_ji': False}",面议,北京市通州区贵友大厦C座1915,300,https://sxsimg.xiaoyuanzhao.com/5C/0A/5C1226413F53B29AE343E7AD5BCC440A.png,2020-12-07,5,150,"<span> </span>
<p>
	<span><span>1</span><span>）技能关键词</span></span>
</p>
<span> </span>
<p>
	<span><span>数据挖掘、</span><span>R</span><span>语言编程、</span><span>SPSS</span><span>工具、</span><span> Python</span><span>。</span></span>
</p>
<span> </span>
<p>
	<span><span>2</span><span>）岗位职责</span></span>
</p>
<span> </span>
<p>
	<span><span>（</span><span>1</span><span>）负责产品业务的数据分析等方面的数据挖掘工作；</span></span>
</p>
<span> </span>
<p>
	<span><span>（</span><span>2</span><span>）根据分析、诊断结果，建立数学模型并优化，撰写报告，为运营决策、产品方向、销售策略等提供数据支持；</span></span>
</p>
<span> </span>
<p>
	<span><span>3</span><span>）任职要求</span></span>
</p>
<span> </span>
<p>
	<span><span>（</span><span>1</span><span>）有较强的数学功底和扎实的统计学、数据挖掘功底；</span></span>
</p>
<span> </span>
<p>
	<span><span>（</span><span>2</span><span>）精通常用数据挖掘工具软件</span><span>R / SPSS / Python</span><span>等工具，可代码级实现数据挖掘算法；</span></span>
</p>
<span> </span>
<p>
	<span><span>（</span><span>3</span><span>）有较强的业务敏感度，分析能力强；</span></span>
</p>
<span> </span>
<p>
	<span><span>（</span><span>4</span><span>）须备良好的职业素质与敬业精神，注重团队合作，擅长沟通表达；</span></span>
</p>
<span> </span>
<p>
	<span><span>（</span><span>5</span><span>）熟悉数据产品开发、推广，有数据挖掘项目实施经验者优先，有营销知识，理念和实践者优先。具备良好的代码风格；</span></span>
</p>
<span> </span>
<p>
	<span><span>（</span><span>6</span><span>）良好的沟通能力及处理困难问题的能力，对工业互联网行业充满热情。</span></span>
</p>
<span> </span><p style='margin-top: 1.5rem;'><strong>该职位同时接受寒假实习和长期实习。</strong></p>",北京,50-150人,,https://www.shixiseng.com/intern/inn_dhazj0cxez59,互联网/游戏/软件,不限,2020-11-30 11:09:15,,"['时间自由', '待遇优厚']",充电了么,0,0,,0,com_hygowe4ncnop
False,1,,数据分析实习生-天河南,本科,0,pages/positiondetail/positiondetail?uuid=inn_zoy4bx3dkqpv,6,"{'is_double_selection': False, 'is_summer': False, 'is_rpo': False, 'is_quick': False, 'is_hirer': False, 'is_ji': False}",面议,广州市天河区天河南二路24号广州银行2楼,100,https://sxsimg.xiaoyuanzhao.com/6C/9C/6CB2E7EC5B30AFEA56F73924C9844E9C.jpg,2020-12-11,3,50,<p>1、辅助完成部分统计性分析需求，执行专职人员指派的其他业务分析工作</p><p><span>2<span>、独立完成少量取数逻辑规则简单的数据统计工作；</span></span><span></span> </p><p><span>3<span>、监控已出报表中核心指标的波动情况，在专职人员的指导下完成波动因素分析。</span></span><span></span> </p><p><span>&nbsp;</span> </p><p><span><span>岗位要求：</span></span><span></span> </p><p><span>1<span>、本科或以上学历；</span></span><span></span> </p><p><span>2<span>、数学、统计或计算机相关专业为佳；</span></span><span></span> </p><p><span>3<span>、有过数据分析实习经历或在校参与挖定项目者为佳；</span></span><span></span> </p><p><span>4<span>、熟悉掌握</span><span>SQL</span><span>，对</span><span>SAS</span><span>有一定了解。</span></span><span></span> </p>,广州,500-1000人,,https://www.shixiseng.com/intern/inn_zoy4bx3dkqpv,金融/经济/投资/财会,中文,2020-11-30 11:08:55,,['数据分析'],广州银行信用卡中心,0,0,,0,com_fyotjmv6ovd5
False,1,,数据分析师,本科,0,pages/positiondetail/positiondetail?uuid=inn_gash4nsivtxn,4,"{'is_double_selection': False, 'is_summer': False, 'is_rpo': False, 'is_quick': False, 'is_hirer': False, 'is_ji': False}",可转正,北京市通州区梨园贵友大厦C座,200,https://sxsimg.xiaoyuanzhao.com/5C/0A/5C1226413F53B29AE343E7AD5BCC440A.png,2020-12-07,2,150,"<div><span style=""font-size:12px;color:#333333;background-color:#ffffff;""> <div><span style=""font-size:16px;"">岗位职责：</span> </div><div><span style=""font-size:16px;color:#333333;background-color:#ffffff;"">1.负责充电了么APP日常数据统计和分析需求，输出相关数据分析报告为运营提供数据支撑；</span> </div><div><span style=""font-size:16px;color:#333333;background-color:#ffffff;"">2.建立数据模型监控产品功能留存情况，为功能优化中提供决策参考；</span> </div><div><span style=""font-size:16px;color:#333333;background-color:#ffffff;"">3.对用户行为进行深入研究，从中找到影响用户留存的关键行为和功能，驱动产品功能的优化，增加用户粘度，提升留存率；&nbsp;</span> </div><div><span style=""font-size:16px;color:#333333;background-color:#ffffff;"">4.对业务数据进行统计和分析，转化AARRR，建立业务增长体系，致力于数据驱动，数据预测；</span> </div><div><span style=""font-size:16px;color:#333333;background-color:#ffffff;"">5.基于用户行为数据进行分析和挖掘，分析用户的需求和痛点，为产品优化和运营提供数据支持和建议；</span> </div><div><br> </div><div><span style=""font-size:16px;color:#333333;background-color:#ffffff;"">任职要求：</span> </div><div><span style=""font-size:16px;color:#333333;background-color:#ffffff;"">1.本科统招及以上学历，统计学、数学、图书馆学等专业；</span> </div><div><span style=""font-size:16px;color:#333333;background-color:#ffffff;"">2.有数据分析工作经验优先，具有扎实的统计学，熟悉数据分析方法论；&nbsp;</span> </div><div><span style=""font-size:16px;color:#333333;background-color:#ffffff;"">3.熟练使用基于Hadoop的Hive数据仓库、SQL语句等其他多种数据分析软件的优先；</span> </div><div><span style=""font-size:16px;color:#333333;background-color:#ffffff;"">4.熟悉Excel和ppt，和数据可视化工具。</span> </div><div><span style=""font-size:16px;color:#333333;"">5.熟悉</span><span style=""font-size:16px;color:#cc0000;"">tableau</span><span style=""font-size:16px;color:#393939;"">可视化工具优先。</span> </div><div><span style=""font-size:16px;color:#393939;"">6.表达能力强，有讲课经验优先。</span> </div><div><br> </div></span> </div><div><span style=""font-size:16px;font-family:Arial;color:#393939;""></span> </div>",北京,50-150人,,https://www.shixiseng.com/intern/inn_gash4nsivtxn,互联网/游戏/软件,中文,2020-11-30 11:08:54,,['实习后可转正'],充电了么,0,0,,0,com_hygowe4ncnop
