is_hr,city,scale,is_view,name,url,industry,deliver,ad_type,refresh,month_num,cname,ftype,invite,maxsal,job_label,type,day,minsal,uuid
False,上海,150-500人,False,数据挖掘工程师,https://sxsimg.xiaoyuanzhao.com/1B/4B/1BC3945FEE8B80F4FE3EB23CEEEF224B.png,互联网/游戏/软件,False,f,11-30,6,华院数据,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_2krgalukceq6
False,上海,50-150人,False,数据挖掘实习生,https://sxsimg.xiaoyuanzhao.com/3B/D3/3B6610F652B9AFF8B75A9BBEFCE0E4D3.png,金融/经济/投资/财会,False,f,11-30,3,弘则研究,1,False,120,"{'is_ji': False, 'is_quick': False}",intern,3,80,inn_8a9xbfmnfgp3
False,北京,150-500人,False,数据分析挖掘工程师,https://sxsimg.xiaoyuanzhao.com/BB/19/BBA2C13C45672BA2DD1FE3137C4E2119.jpg,互联网/游戏/软件,False,f,11-30,3,墨迹天气,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,120,inn_mvhpmjzpge6x
False,北京,15-50人,False,数据分析实习,https://sxsimg.xiaoyuanzhao.com/E4/C8/E43687AA59A9D781FF6085D39B6B60C8.jpg,互联网/游戏/软件,False,f,11-30,4,领众恒信,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,3,100,inn_yc7op6zffzg2
False,广州,50-150人,False,语音数据标注员（粤语）,https://sxsimg.xiaoyuanzhao.com/7D/E7/7DA311B5B42CE8F261FE2115B49A3FE7.png,互联网/游戏/软件,False,f,11-30,6,有光科技,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,4,100,inn_0qikvff4y23o
False,大连,150-500人,False,算法实习生,https://sxsimg.xiaoyuanzhao.com/82/3D/82C3DA937235431C6137523C0385633D.png,互联网/游戏/软件,False,f,11-30,5,腾讯无线大连研发中心,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,100,inn_dvdkujbqjldj
False,全国,15-50人,False,Python数据分析实习生,https://sxsimg.xiaoyuanzhao.com/31/C2/31D023E5B816500515AB5E5DE1AB2AC2.png,教育/培训,False,f,11-30,1,新思陆,1,False,400,"{'is_ji': False, 'is_quick': False}",intern,5,300,inn_jrtziyz1zm2x
False,北京,50-150人,False,数据挖掘工程师,https://sxsimg.xiaoyuanzhao.com/5C/0A/5C1226413F53B29AE343E7AD5BCC440A.png,互联网/游戏/软件,False,f,11-30,3,充电了么,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_dhazj0cxez59
False,广州,500-1000人,False,数据分析实习生-天河南,https://sxsimg.xiaoyuanzhao.com/6C/9C/6CB2E7EC5B30AFEA56F73924C9844E9C.jpg,金融/经济/投资/财会,False,f,11-30,6,广州银行信用卡中心,1,False,100,"{'is_ji': False, 'is_quick': False}",intern,3,50,inn_zoy4bx3dkqpv
False,北京,50-150人,False,数据分析师,https://sxsimg.xiaoyuanzhao.com/5C/0A/5C1226413F53B29AE343E7AD5BCC440A.png,互联网/游戏/软件,False,f,11-30,4,充电了么,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,2,150,inn_gash4nsivtxn
False,北京,50-150人,False,NLP自然语言处理工程师,https://sxsimg.xiaoyuanzhao.com/5C/0A/5C1226413F53B29AE343E7AD5BCC440A.png,互联网/游戏/软件,False,f,11-30,4,充电了么,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_mjoqfcqczln8
False,北京,500-2000人,False,医药学实习生,https://sxsimg.xiaoyuanzhao.com/70/D2/702E4071E4213C3316ADBBDEA306D6D2.jpg,医疗/健康/制药/生物,False,f,11-30,3,医渡云,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,3,120,inn_zek8hdtcqf0i
False,上海,150-500人,False,数据挖掘助理,https://sxsimg.xiaoyuanzhao.com/69/BD/696D69C2EC630894F7849C62411855BD.png,互联网/游戏/软件,False,f,11-30,3,趣致股份,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,3,150,inn_syhnolixgyd1
False,上海,150-500人,False,数据分析助理,https://sxsimg.xiaoyuanzhao.com/69/BD/696D69C2EC630894F7849C62411855BD.png,互联网/游戏/软件,False,f,11-30,3,趣致股份,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,4,150,inn_lfnlxynck5dp
False,广州,2000人以上,False,番禺数据录入员,https://sxsimg.xiaoyuanzhao.com/67/EF/675E233370BC46E442ACFEC5C92953EF.jpg,互联网/游戏/软件,False,f,11-30,6,yidatec,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,100,inn_uliub0kcaayi
False,无锡,15-50人,False,UI设计师,https://sxsimg.xiaoyuanzhao.com/9B/01/9BA882B5DE1A7535FA77EA319EAA2001.png,互联网/游戏/软件,False,f,11-30,3,跑吧跑吧运动大数据,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,3,80,inn_tzim0ovaakuu
False,重庆,500-2000人,False,数据建模实习生,https://sxsimg.xiaoyuanzhao.com/88/7F/88E532BDEA866EFF3F63128F33F00F7F.jpg,金融/经济/投资/财会,False,f,11-30,3,瀚华金融,1,False,100,"{'is_ji': False, 'is_quick': False}",intern,5,50,inn_zk0ybk0vgmsy
False,上海,少于15人,False,数据科学家,https://sxsimg.xiaoyuanzhao.com/F1/0A/F1FB1E543458580C2C08F6DDE446FA0A.png,互联网/游戏/软件,False,f,11-30,6,千居智,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,4,200,inn_85vbzdze5mqw
False,上海,15-50人,False,科技金融部实习生（上海）,https://sxsimg.xiaoyuanzhao.com/8F/99/8F656894EA680FE56867AF811F3CFF99.png,金融/经济/投资/财会,False,f,11-30,3,汇鸿汇升投资,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,100,inn_dh3bm2ngihrz
False,深圳,150-500人,False,数据分析员,https://sxsimg.xiaoyuanzhao.com/60/59/6060D9E2367D2E61ABF01F3779B5A859.png,交通/贸易/物流,False,f,11-30,5,燕文物流,1,False,250,"{'is_ji': False, 'is_quick': False}",intern,5,200,inn_gnib3foj33fa
False,上海,150-500人,False,数据挖掘工程师,https://sxsimg.xiaoyuanzhao.com/1B/4B/1BC3945FEE8B80F4FE3EB23CEEEF224B.png,互联网/游戏/软件,False,f,11-30,6,华院数据,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_2krgalukceq6
False,上海,50-150人,False,数据挖掘实习生,https://sxsimg.xiaoyuanzhao.com/3B/D3/3B6610F652B9AFF8B75A9BBEFCE0E4D3.png,金融/经济/投资/财会,False,f,11-30,3,弘则研究,1,False,120,"{'is_ji': False, 'is_quick': False}",intern,3,80,inn_8a9xbfmnfgp3
False,北京,150-500人,False,数据分析挖掘工程师,https://sxsimg.xiaoyuanzhao.com/BB/19/BBA2C13C45672BA2DD1FE3137C4E2119.jpg,互联网/游戏/软件,False,f,11-30,3,墨迹天气,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,120,inn_mvhpmjzpge6x
False,北京,15-50人,False,数据分析实习,https://sxsimg.xiaoyuanzhao.com/E4/C8/E43687AA59A9D781FF6085D39B6B60C8.jpg,互联网/游戏/软件,False,f,11-30,4,领众恒信,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,3,100,inn_yc7op6zffzg2
False,广州,50-150人,False,语音数据标注员（粤语）,https://sxsimg.xiaoyuanzhao.com/7D/E7/7DA311B5B42CE8F261FE2115B49A3FE7.png,互联网/游戏/软件,False,f,11-30,6,有光科技,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,4,100,inn_0qikvff4y23o
False,大连,150-500人,False,算法实习生,https://sxsimg.xiaoyuanzhao.com/82/3D/82C3DA937235431C6137523C0385633D.png,互联网/游戏/软件,False,f,11-30,5,腾讯无线大连研发中心,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,100,inn_dvdkujbqjldj
False,全国,15-50人,False,Python数据分析实习生,https://sxsimg.xiaoyuanzhao.com/31/C2/31D023E5B816500515AB5E5DE1AB2AC2.png,教育/培训,False,f,11-30,1,新思陆,1,False,400,"{'is_ji': False, 'is_quick': False}",intern,5,300,inn_jrtziyz1zm2x
False,北京,50-150人,False,数据挖掘工程师,https://sxsimg.xiaoyuanzhao.com/5C/0A/5C1226413F53B29AE343E7AD5BCC440A.png,互联网/游戏/软件,False,f,11-30,3,充电了么,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_dhazj0cxez59
False,广州,500-1000人,False,数据分析实习生-天河南,https://sxsimg.xiaoyuanzhao.com/6C/9C/6CB2E7EC5B30AFEA56F73924C9844E9C.jpg,金融/经济/投资/财会,False,f,11-30,6,广州银行信用卡中心,1,False,100,"{'is_ji': False, 'is_quick': False}",intern,3,50,inn_zoy4bx3dkqpv
False,北京,50-150人,False,数据分析师,https://sxsimg.xiaoyuanzhao.com/5C/0A/5C1226413F53B29AE343E7AD5BCC440A.png,互联网/游戏/软件,False,f,11-30,4,充电了么,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,2,150,inn_gash4nsivtxn
False,北京,50-150人,False,NLP自然语言处理工程师,https://sxsimg.xiaoyuanzhao.com/5C/0A/5C1226413F53B29AE343E7AD5BCC440A.png,互联网/游戏/软件,False,f,11-30,4,充电了么,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_mjoqfcqczln8
False,北京,500-2000人,False,医药学实习生,https://sxsimg.xiaoyuanzhao.com/70/D2/702E4071E4213C3316ADBBDEA306D6D2.jpg,医疗/健康/制药/生物,False,f,11-30,3,医渡云,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,3,120,inn_zek8hdtcqf0i
